time_h,biomass_gL,substrate_gL
0.0,0.051241785382528084,10.92613909225447
0.8571428571428571,0.07269101156447395,9.946888620329512
1.7142857142857142,0.11063161942286498,9.362868018167676
2.571428571428571,0.1687831625607978,10.188805232874625
3.4285714285714284,0.22686885830353537,9.052386349762115
4.285714285714286,0.3321428599212374,9.526302154230825
5.142857142857142,0.5305647217331061,8.223257063795923
6.0,0.7466414902800332,8.086668735961034
7.0,1.0947450532250496,7.935224562261331
7.357142857142857,1.3489862375426465,7.749223616449184
7.714285714285714,1.502670839506558,7.083549227098108
8.071428571428571,1.759514204562179,6.459503292468464
8.428571428571429,2.134615170083154,5.7932502851148175
8.785714285714286,2.2321773288447573,4.7816801260168695
9.142857142857142,2.6383484312379575,4.1695796238438305
9.5,3.280313381013622,3.272442117192685
9.857142857142858,3.7367879144610914,2.3455126027134487
10.214285714285715,4.638824338877913,0.9824646516912545
10.571428571428571,4.817671140383759,0.005832129316822136
10.928571428571429,4.693393363045387,0.0
11.285714285714285,5.420076400558316,0.0
11.642857142857142,4.992991563724284,0.0
12.0,5.067050952461473,0.0
13.0,4.690251157752018,0.0
14.0,4.91254344037204,0.0
15.0,5.0780080348541885,0.0
16.0,4.759374197573727,0.0
17.0,5.14486383165053,0.0
18.0,4.898338808883704,0.0
19.0,4.976347407508995,0.0
20.0,4.89806915849598,0.0
